abuse_number,city_name,fac_name,fac_type,inv_comp_date,online_incident_date
ES104588B,SPRINGFIELD,GATEWAY LIVING,RCF, 03/17/2011, 06/14/2010
ES089560,SPRINGFIELD,GATEWAY LIVING,RCF, 01/21/2009, 12/06/2008
ES075907,SPRINGFIELD,GATEWAY LIVING,RCF, 11/16/2007, 10/23/2007
CO06068,SPRINGFIELD,GATEWAY LIVING,RCF, 10/20/2006, 09/20/2006
EG98778,SPRINGFIELD,GATEWAY LIVING,RCF, 01/16/2004, 11/02/2003
EG98353A,SPRINGFIELD,GATEWAY LIVING,RCF, 07/21/2003, 05/04/2003
EG98353B,SPRINGFIELD,GATEWAY LIVING,RCF, 07/21/2003, 05/04/2003
BC063044,PORTLAND,GOLDEN ACRES RETIREMENT CENTER,RCF, 11/17/2006, 09/26/2006
BC167860,PORTLAND,GOLDEN ACRES RETIREMENT CENTER,RCF, 12/20/2016, 10/01/2016
BC134255,PORTLAND,GOLDEN AGE CENTER,RCF, 12/03/2013, 08/26/2013
BC117081,PORTLAND,GOLDEN AGE CENTER,RCF, 07/25/2011, 05/22/2011
BH146458,MILWAUKIE,"GOLDEN AGE LIVING, LLC",RCF, 01/07/2016, 02/28/2014
CK088189,MILWAUKIE,"GOLDEN AGE LIVING, LLC",RCF, 08/13/2008, 06/09/2008
CO03077,MILWAUKIE,"GOLDEN AGE LIVING, LLC",RCF, 12/15/2003, 12/04/2003
ES105484,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 06/03/2011, 10/13/2010
ES103975,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 05/27/2010, 04/07/2010
ES091670,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 08/17/2009, 06/17/2009
ES089413,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 01/14/2009, 11/14/2008
ES088309,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 09/22/2008, 07/25/2008
ES087550,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 06/04/2008, 05/01/2008
ES087008,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 06/19/2008, 02/26/2008
ES076059,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 01/03/2008, 11/07/2007
ES101416,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 01/26/2007, 11/01/2006
EG100337,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 08/12/2005, 07/25/2005
EG99343,EUGENE,GOOD NEIGHBOR CARE - EUGENE,RCF, 07/29/2004, 07/20/2004
ES101241,SPRINGFIELD,GOOD NEIGHBOR CARE - SPRINGFIELD,RCF, 10/20/2006, 07/31/2006
EG99760,SPRINGFIELD,GOOD NEIGHBOR CARE - SPRINGFIELD,RCF, 12/30/2004, 12/22/2004
EG98609A,SPRINGFIELD,GOOD NEIGHBOR CARE - SPRINGFIELD,RCF, 09/29/2003, 08/25/2003
EG98609B,SPRINGFIELD,GOOD NEIGHBOR CARE - SPRINGFIELD,RCF, 09/29/2003, 08/25/2003
CO10005,EUGENE,GRACE MANOR,RCF, 12/19/2009, 12/19/2009
BC086486A,GRESHAM,GRESHAM REHAB & SPECIALTY CARE,RCF, 01/29/2008, 01/04/2008
BC073769,GRESHAM,GRESHAM RETIREMENT CENTER,RCF, 02/26/2007, 01/24/2007
BC062868,GRESHAM,GRESHAM RETIREMENT CENTER,RCF, 10/23/2006, 10/12/2006
CO06010,GRESHAM,GRESHAM RETIREMENT CENTER,RCF, 01/03/2006, 11/16/2005
BF103508,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 02/24/2010, 06/02/2009
CK103849,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 03/31/2010, 05/15/2009
CK090807,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 05/27/2009, 03/26/2009
CK090619A,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 11/13/2009, 03/21/2009
CK089193,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 11/12/2008, 09/03/2008
CK086891,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 02/22/2008, 12/12/2007
CK061221,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 05/17/2006, 02/21/2006
CK050363,WILSONVILLE,"HAMPTON ALZHEIMER COMMUNITY, THE",RCF, 11/02/2005, 10/25/2005
MC043717,MCMINNVILLE,HAMPTON SPECIAL CARE CENTER,RCF, 10/20/2004, 09/15/2004
CO15161,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 08/13/2015, 08/13/2015
NB092794C,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 03/18/2010, 12/02/2009
CO09007,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 01/23/2009, 01/22/2009
NB099972A,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 02/12/2009, 01/20/2009
NB099972C,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 02/12/2009, 01/20/2009
NB086795,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 04/04/2008, 01/25/2008
NB061084,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 02/15/2006, 12/08/2005
NB148112,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 11/29/2004, 09/28/2004
NB148061,BANDON,HARMONY ESTATES RESIDENTIAL CARE CENTER,RCF, 05/26/2004, 05/05/2004
MV152558,SALEM,HARMONY HOUSE OF SALEM,RCF, 10/28/2015, 08/21/2015
MM104560,MCMINNVILLE,HARMONY LIVING,RCF, 08/13/2010, 06/13/2010
MC061698,MCMINNVILLE,HARMONY LIVING,RCF, 06/05/2006, 04/15/2006
BC168109,PORTLAND,HARVEST HOMES RCF,RCF, 12/13/2016, 10/08/2016
BC086980,PORTLAND,HARVEST HOMES RCF,RCF, 03/03/2008, 02/15/2008
CO13002,FOSSIL,HAVEN HOUSE RETIREMENT CENTER,RCF, 12/12/2012, 12/03/2012
DL088650,FOSSIL,HAVEN HOUSE RETIREMENT CENTER,RCF, 10/28/2008, 08/25/2008
DL073963,FOSSIL,HAVEN HOUSE RETIREMENT CENTER,RCF, 06/20/2007, 03/06/2007
DL073967,FOSSIL,HAVEN HOUSE RETIREMENT CENTER,RCF, 06/20/2007, 08/21/2006
TD62491,FOSSIL,HAVEN HOUSE RETIREMENT CENTER,RCF, 04/18/2006, 07/26/2005
BC103106,PORTLAND,HAWTHORNE GARDENS MEMORY CARE COMMUNITY,RCF, 01/29/2010, 01/07/2010
BC086762B,PORTLAND,HEALTHCARE AT FOSTER CREEK,RCF, 02/19/2008, 01/30/2008
WB062029,WOODBURN,HERITAGE HOUSE OF WOODBURN,RCF, 08/01/2006, 06/19/2006
NB088931,BANDON,HERITAGE PLACE WELLNESS CENTER,RCF, 12/05/2008, 09/13/2008
NB148059,BANDON,HERITAGE PLACE WELLNESS CENTER,RCF, 06/01/2004, 03/27/2004
HM147977,HERMISTON,HERMISTON'S COUNTRY LIVING,RCF, 09/09/2014, 07/15/2014
CO14005,HERMISTON,HERMISTON'S COUNTRY LIVING,RCF, 11/29/2013, 11/15/2013
ES152039,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 09/04/2015, 07/12/2015
ES152039,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 09/04/2015, 07/12/2015
ES090014,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 03/10/2009, 01/22/2009
ES089730,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 02/12/2009, 12/21/2008
ES087758A,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 07/11/2008, 05/21/2008
CO07086,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 08/20/2007, 07/25/2007
ES101152,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 08/08/2006, 07/27/2006
EG98931,EUGENE,HOLLY RESIDENTIAL CARE CENTER,RCF, 03/15/2004, 01/28/2004
CO10003,PORTLAND,HOPE N CARE,RCF, 02/02/2010, 09/21/2009
BH129375C,MILWAUKIE,IVY COURT SENIOR LIVING,RCF, 08/24/2012, 12/04/2011
BH129375D,MILWAUKIE,IVY COURT SENIOR LIVING,RCF, 08/24/2012, 12/04/2011
CO09017,MILWAUKIE,IVY COURT SENIOR LIVING,RCF, 11/08/2008, 09/12/2008
CO07145,MILWAUKIE,IVY COURT SENIOR LIVING,RCF, 12/03/2007, 11/16/2007
CO07109,MILWAUKIE,IVY COURT SENIOR LIVING,RCF, 10/02/2007, 09/12/2007
CO09117,LEBANON,JAMATA HAPPY HOME,RCF, 12/16/2009, 12/16/2009
AL091948,LEBANON,JAMATA HAPPY HOME,RCF, 10/22/2009, 04/27/2009
CO07080,LEBANON,JAMATA HAPPY HOME,RCF, 08/02/2007, 06/20/2007
CO04056,LEBANON,JAMATA HAPPY HOME,RCF, 06/14/2004, 05/27/2004
AL326,LEBANON,JAMATA HAPPY HOME,RCF, 11/20/2003, 06/09/2003
DA167971,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 12/29/2016, 10/16/2016
DA168057,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 01/16/2017, 10/16/2016
DA167893,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 12/29/2016, 10/02/2016
DA167692,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 11/30/2016, 09/25/2016
DA167300,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 10/31/2016, 08/27/2016
DA154019,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 03/09/2016, 12/16/2015
DA152700,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 10/28/2015, 08/31/2015
DA152440,DALLAS,JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF, 04/04/2016, 08/09/2015
SL047001,DALLAS,JEFFERSON MANOR,RCF, 08/16/2004, 06/23/2004
CO03050,DALLAS,JEFFERSON MANOR,RCF, 09/12/2003, 09/12/2003
DA148632,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 03/30/2016, 08/27/2014
DA134752,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 12/03/2013, 09/20/2013
DA129661,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 06/18/2012, 03/22/2012
DA117141,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 08/30/2011, 05/16/2011
DA090198A,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 04/13/2009, 02/08/2009
DA099978,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 03/20/2009, 01/17/2009
DA089372,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 02/23/2009, 11/07/2008
DA088687,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 11/17/2008, 08/31/2008
CO08080,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 07/24/2008, 06/25/2008
DA087180,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 06/12/2008, 02/23/2008
DA075657,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 11/21/2007, 09/16/2007
DA062563,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 10/25/2006, 07/12/2006
SL057303,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 06/10/2005, 04/08/2005
SL047205,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 03/10/2005, 12/03/2004
SL047190,DALLAS,JEFFERSON MANOR RESIDENTIAL CARE,RCF, 02/10/2005, 11/09/2004
CO04095,SALEM,JEPSON'S CARE HOME,RCF, 10/08/2004, 10/04/2004
CO04075,SALEM,JEPSON'S CARE HOME,RCF, 09/24/2004, 09/15/2004
SL047078,SALEM,JEPSON'S CARE HOME,RCF, 09/22/2004, 08/20/2004
GP151402,GRANTS PASS,KINSINGTON PLACE,RCF, 08/25/2015, 05/28/2015
GP151402,GRANTS PASS,KINSINGTON PLACE,RCF, 08/25/2015, 05/28/2015
BC075268,PORTLAND,KNIGHT ADULT CARE HOMES,RCF, 08/10/2007, 08/03/2007
BC062888A,PORTLAND,KNIGHT ADULT CARE HOMES,RCF, 10/26/2006, 09/25/2006
MR449A,PORTLAND,KNIGHT ADULT CARE HOMES,RCF, 05/11/2004, 03/29/2004
CO03007,PORTLAND,KNIGHT ADULT CARE HOMES,RCF, 02/05/2003, 02/04/2003
MR322,PORTLAND,KNIGHT ADULT CARE HOMES,RCF, 02/10/2003, 01/17/2003
MF167071,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 09/20/2016, 08/12/2016
MS166656,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 08/19/2016, 09/03/2015
MF151612,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 09/14/2015, 06/13/2015
MS150959,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 06/10/2015, 04/14/2015
MS150352,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 04/23/2015, 02/21/2015
MS159788A,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 02/16/2015, 01/05/2015
MS149469,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 01/30/2015, 11/28/2014
MS074987,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 08/31/2007, 07/09/2007
CO05072,WHITE CITY,LAUREL PINES RETIREMENT LODGE,RCF, 11/16/2005, 11/16/2005
CK040082A,TUALATIN,"LEGACY GARDENS OF TUALATIN, THE",RCF, 08/03/2004, 03/02/2004
CK040082B,TUALATIN,"LEGACY GARDENS OF TUALATIN, THE",RCF, 08/03/2004, 03/02/2004
CK040025,TUALATIN,"LEGACY GARDENS OF TUALATIN, THE",RCF, 03/15/2004, 01/19/2004
CO07155,LINCOLN CITY,LINCOLNSHIRE MEMORY CARE COMMUNITY,RCF, 12/12/2007, 11/15/2007
CO07094,LINCOLN CITY,LINCOLNSHIRE MEMORY CARE COMMUNITY,RCF, 09/13/2007, 08/16/2007
NW062222,LINCOLN CITY,LINCOLNSHIRE MEMORY CARE COMMUNITY,RCF, 08/10/2006, 05/11/2006
NW169414,LINCOLN CITY,LINCOLNSHIRE MEMORY CARE COMMUNITY,RCF, 03/24/2006, 01/12/2006
CO03041,LINCOLN CITY,LINCOLNSHIRE RETIREMENT & ASSISTED LIVING,RCF, 07/03/2003, 06/19/2003
NW139166,LINCOLN CITY,LINCOLNSHIRE RETIREMENT & ASSISTED LIVING,RCF, 12/08/2003, 05/06/2003
BC121698,GRESHAM,LINDEN CARE MANOR,RCF, 12/18/2012, 11/20/2012
BC121661,GRESHAM,LINDEN CARE MANOR,RCF, 01/15/2013, 10/31/2012
CO12104,GRESHAM,LINDEN CARE MANOR,RCF, 09/12/2012, 09/07/2012
BC121080,GRESHAM,LINDEN CARE MANOR,RCF, 11/02/2012, 08/30/2012
BC120952,GRESHAM,LINDEN CARE MANOR,RCF, 11/02/2012, 07/16/2012
BC120479,GRESHAM,LINDEN CARE MANOR,RCF, 08/29/2012, 07/08/2012
BC129636B,GRESHAM,LINDEN CARE MANOR,RCF, 08/07/2012, 03/20/2012
CO14203,GRESHAM,LINDEN MANOR,RCF, 10/03/2014, 09/26/2014
MV164223A,ALBANY,LYDIA'S HOUSE,RCF, 03/17/2016, 01/07/2016
AL151939,ALBANY,LYDIA'S HOUSE,RCF, 02/09/2016, 01/01/2015
AL148956,ALBANY,LYDIA'S HOUSE,RCF, 12/16/2014, 03/10/2014
AL146353,ALBANY,LYDIA'S HOUSE,RCF, 04/09/2014, 09/30/2013
AL091961,ALBANY,LYDIA'S HOUSE,RCF, 09/25/2009, 08/18/2009
AL091422,ALBANY,LYDIA'S HOUSE,RCF, 07/29/2009, 06/13/2009
CO09045,ALBANY,LYDIA'S HOUSE,RCF, 02/26/2009, 01/15/2009
AL074862,ALBANY,LYDIA'S HOUSE,RCF, 08/03/2007, 06/15/2007
ES117169,COTTAGE GROVE,MAGNOLIA VILLAGE MEMORY CARE COMMUNITY,RCF, 08/10/2011, 06/04/2011
ES117169,COTTAGE GROVE,MAGNOLIA VILLAGE MEMORY CARE COMMUNITY,RCF, 08/10/2011, 06/04/2011
RB129940,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 06/27/2012, 04/24/2012
RB129562,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 04/13/2012, 03/17/2012
RB116429,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 04/26/2011, 02/07/2011
RB092981,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 02/11/2010, 12/17/2009
RB088579,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 10/02/2008, 08/26/2008
RB087443,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 06/16/2008, 04/20/2008
RB076101,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 01/03/2008, 11/15/2007
RB075707,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 11/08/2007, 10/02/2007
RB075101,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 09/13/2007, 07/18/2007
RB073979,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 05/07/2007, 03/07/2007
RB062825,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 07/31/2007, 10/10/2006
RB062826A,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 06/15/2007, 10/08/2006
RB062826B,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 06/15/2007, 10/08/2006
RB062593,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 11/09/2006, 09/06/2006
RS152171B,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 11/02/2005, 07/05/2005
RS152166,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 04/11/2006, 06/22/2005
RS152156A,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 11/02/2005, 05/25/2005
RS152151,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 10/11/2005, 05/13/2005
RS152125,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 06/01/2005, 03/06/2005
RS152118,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 06/28/2005, 03/04/2005
RS152114,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 05/03/2005, 02/25/2005
RS152113A,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 04/19/2005, 02/18/2005
RS142085,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 02/16/2005, 12/18/2004
RS142079,ROSEBURG,MANOR HOUSE MEMORY CARE,RCF, 01/10/2005, 11/14/2004
MS150461,MEDFORD,MANOR SPECIAL CARE CENTER,RCF, 04/27/2015, 03/03/2015
MS146990,MEDFORD,MANOR SPECIAL CARE CENTER,RCF, 06/13/2014, 05/05/2014
MS146098,MEDFORD,MANOR SPECIAL CARE CENTER,RCF, 05/22/2014, 02/18/2014
MS146915,MEDFORD,MANOR SPECIAL CARE CENTER,RCF, 05/23/2014, 02/06/2014
MS146953,MEDFORD,MANOR SPECIAL CARE CENTER,RCF, 06/04/2014, 09/16/2013
MS166842,MEDFORD,MANOR TERRACE CARE SUITES,RCF, 08/29/2016, 07/28/2016
MS146798,MEDFORD,MANOR TERRACE CARE SUITES,RCF, 10/23/2014, 04/15/2014
HB148595,PORTLAND,MARQUIS AUTUMN HILLS RESIDENTIAL MEMORY CARE,RCF, 12/02/2014, 09/17/2014
HB129564,PORTLAND,MARQUIS CARE AT AUTUMN HILLS,RCF, 05/30/2012, 03/18/2012
HB086615,PORTLAND,MARQUIS CARE AT AUTUMN HILLS,RCF, 02/01/2008, 01/18/2008
HB153710,PORTLAND,MARQUIS CARE AT AUTUMN HILLS,RCF, 08/09/2006, 08/20/2005
HB132001X,BEAVERTON,MARYVILLE MEMORY CARE,RCF, 05/14/2013, 12/26/2012
HB121280,BEAVERTON,MARYVILLE MEMORY CARE,RCF, 12/11/2012, 10/02/2012
BH166156,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 07/04/2016, 06/06/2016
BH165619,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 06/10/2016, 04/17/2016
BH150529,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 03/16/2015, 12/01/2014
BH146846,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 05/22/2014, 04/15/2014
BH135148,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 03/19/2014, 11/20/2013
BH135050,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 12/18/2013, 11/09/2013
BF103202A,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 05/21/2010, 01/10/2010
BF092270,OREGON CITY,MCLOUGHLIN MEMORY CARE,RCF, 10/21/2009, 07/03/2009
OT090150,ONTARIO,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE,RCF, 02/25/2009, 12/15/2008
OT099973,ONTARIO,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE,RCF, 02/17/2009, 12/12/2008
OT086491,ONTARIO,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE,RCF, 05/16/2008, 12/27/2007
OT075790A,ONTARIO,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE,RCF, 12/06/2007, 10/08/2007
OT075791,ONTARIO,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE,RCF, 11/19/2007, 10/08/2007
OT41770C,ONTARIO,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE,RCF, 04/28/2005, 07/08/2004
CO03010,ONTARIO,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE,RCF, 01/31/2003, 01/14/2003
BH121843C,OREGON CITY,MEADOWS COURTYARD,RCF, 04/16/2013, 11/27/2012
RS131860,ROSEBURG,MERCY MANOR,RCF, 12/08/2003, 08/27/2003
ES164449,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 06/15/2016, 01/28/2016
ES153562,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 12/09/2015, 11/13/2015
ES152337,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 08/25/2015, 07/31/2015
ES152019,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 08/28/2015, 07/09/2015
ES151786,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 07/24/2015, 06/29/2015
ES150584,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 04/10/2015, 03/15/2015
ES150183,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/19/2015, 02/07/2015
ES148760,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 12/17/2014, 09/30/2014
ES148106,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 09/17/2014, 08/11/2014
ES145863,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/17/2015, 12/29/2013
ES120182,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 09/12/2012, 05/31/2012
ES129976,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 07/10/2012, 05/03/2012
ES118788B,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/13/2012, 12/26/2011
ES118465,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 01/13/2012, 11/05/2011
ES118325,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 01/11/2012, 10/28/2011
ES118223,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 01/10/2012, 10/11/2011
ES117855,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 11/14/2011, 08/26/2011
ES117688,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 01/09/2012, 08/04/2011
ES117391,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 11/22/2011, 07/03/2011
ES116427,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/23/2011, 02/23/2011
ES103741A,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 04/29/2010, 03/10/2010
ES103628,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 05/03/2010, 02/24/2010
ES103515A,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/23/2010, 02/09/2010
ES103515B,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/23/2010, 02/09/2010
ES103468,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/04/2010, 02/07/2010
ES092858,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 03/12/2010, 12/04/2009
ES092537,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 11/04/2009, 09/20/2009
ES103062,COTTAGE GROVE,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY,RCF, 11/15/2010, 01/05/2009
BH133055,MILWAUKIE,MILWAUKIE CARE CENTER,RCF, 06/07/2013, 04/24/2013
BH118702,MILWAUKIE,MILWAUKIE CARE CENTER,RCF, 01/21/2012, 09/23/2011
BH166087,CLACKAMAS,MIRAMONT POINTE,RCF, 07/28/2016, 05/18/2016
BH166034,CLACKAMAS,MIRAMONT POINTE,RCF, 08/04/2016, 05/06/2016
BH153545,CLACKAMAS,MIRAMONT POINTE,RCF, 12/09/2015, 10/06/2015
CO13029,CLACKAMAS,MIRAMONT POINTE,RCF, 03/20/2013, 03/13/2013
CO12131,CLACKAMAS,MIRAMONT POINTE,RCF, 11/21/2012, 11/08/2012
BH120752,CLACKAMAS,MIRAMONT POINTE,RCF, 10/10/2012, 07/23/2012
BH116074B,CLACKAMAS,MIRAMONT POINTE,RCF, 02/25/2011, 12/29/2010
CO14243,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 11/12/2014, 11/05/2014
BH159848,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 01/30/2015, 08/23/2014
BH146625,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 05/22/2014, 04/03/2014
BH153592,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 12/22/2015, 03/19/2014
BH120476A,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 03/12/2013, 07/06/2012
BH120476B,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 03/12/2013, 07/06/2012
BH118278,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 11/18/2011, 07/01/2011
CK086711,HAPPY VALLEY,MONTEREY COURT ALZHEIMER'S CARE,RCF, 02/22/2008, 01/28/2008
