abuse_number,city_name,fac_type,inv_comp_date,online_fac_name,online_incident_date
CO03077,MILWAUKIE,RCF, 12/15/2003,"GOLDEN AGE LIVING, LLC", 12/04/2003
ES105484,EUGENE,RCF, 06/03/2011,GOOD NEIGHBOR CARE - EUGENE, 10/13/2010
ES103975,EUGENE,RCF, 05/27/2010,GOOD NEIGHBOR CARE - EUGENE, 04/07/2010
ES091670,EUGENE,RCF, 08/17/2009,GOOD NEIGHBOR CARE - EUGENE, 06/17/2009
ES089413,EUGENE,RCF, 01/14/2009,GOOD NEIGHBOR CARE - EUGENE, 11/14/2008
ES088309,EUGENE,RCF, 09/22/2008,GOOD NEIGHBOR CARE - EUGENE, 07/25/2008
ES087550,EUGENE,RCF, 06/04/2008,GOOD NEIGHBOR CARE - EUGENE, 05/01/2008
ES087008,EUGENE,RCF, 06/19/2008,GOOD NEIGHBOR CARE - EUGENE, 02/26/2008
ES076059,EUGENE,RCF, 01/03/2008,GOOD NEIGHBOR CARE - EUGENE, 11/07/2007
ES101416,EUGENE,RCF, 01/26/2007,GOOD NEIGHBOR CARE - EUGENE, 11/01/2006
EG100337,EUGENE,RCF, 08/12/2005,GOOD NEIGHBOR CARE - EUGENE, 07/25/2005
EG99343,EUGENE,RCF, 07/29/2004,GOOD NEIGHBOR CARE - EUGENE, 07/20/2004
ES101241,SPRINGFIELD,RCF, 10/20/2006,GOOD NEIGHBOR CARE - SPRINGFIELD, 07/31/2006
EG99760,SPRINGFIELD,RCF, 12/30/2004,GOOD NEIGHBOR CARE - SPRINGFIELD, 12/22/2004
EG98609A,SPRINGFIELD,RCF, 09/29/2003,GOOD NEIGHBOR CARE - SPRINGFIELD, 08/25/2003
EG98609B,SPRINGFIELD,RCF, 09/29/2003,GOOD NEIGHBOR CARE - SPRINGFIELD, 08/25/2003
CO10005,EUGENE,RCF, 12/19/2009,GRACE MANOR, 12/19/2009
BC086486A,GRESHAM,RCF, 01/29/2008,GRESHAM REHAB & SPECIALTY CARE, 01/04/2008
BC073769,GRESHAM,RCF, 02/26/2007,GRESHAM RETIREMENT CENTER, 01/24/2007
BC062868,GRESHAM,RCF, 10/23/2006,GRESHAM RETIREMENT CENTER, 10/12/2006
CO06010,GRESHAM,RCF, 01/03/2006,GRESHAM RETIREMENT CENTER, 11/16/2005
BF103508,WILSONVILLE,RCF, 02/24/2010,"HAMPTON ALZHEIMER COMMUNITY, THE", 06/02/2009
CK103849,WILSONVILLE,RCF, 03/31/2010,"HAMPTON ALZHEIMER COMMUNITY, THE", 05/15/2009
CK090807,WILSONVILLE,RCF, 05/27/2009,"HAMPTON ALZHEIMER COMMUNITY, THE", 03/26/2009
CK090619A,WILSONVILLE,RCF, 11/13/2009,"HAMPTON ALZHEIMER COMMUNITY, THE", 03/21/2009
CK089193,WILSONVILLE,RCF, 11/12/2008,"HAMPTON ALZHEIMER COMMUNITY, THE", 09/03/2008
CK086891,WILSONVILLE,RCF, 02/22/2008,"HAMPTON ALZHEIMER COMMUNITY, THE", 12/12/2007
CK061221,WILSONVILLE,RCF, 05/17/2006,"HAMPTON ALZHEIMER COMMUNITY, THE", 02/21/2006
CK050363,WILSONVILLE,RCF, 11/02/2005,"HAMPTON ALZHEIMER COMMUNITY, THE", 10/25/2005
MC043717,MCMINNVILLE,RCF, 10/20/2004,HAMPTON SPECIAL CARE CENTER, 09/15/2004
CO15161,BANDON,RCF, 08/13/2015,HARMONY ESTATES RESIDENTIAL CARE CENTER, 08/13/2015
NB092794C,BANDON,RCF, 03/18/2010,HARMONY ESTATES RESIDENTIAL CARE CENTER, 12/02/2009
CO09007,BANDON,RCF, 01/23/2009,HARMONY ESTATES RESIDENTIAL CARE CENTER, 01/22/2009
NB099972A,BANDON,RCF, 02/12/2009,HARMONY ESTATES RESIDENTIAL CARE CENTER, 01/20/2009
NB099972C,BANDON,RCF, 02/12/2009,HARMONY ESTATES RESIDENTIAL CARE CENTER, 01/20/2009
NB086795,BANDON,RCF, 04/04/2008,HARMONY ESTATES RESIDENTIAL CARE CENTER, 01/25/2008
NB061084,BANDON,RCF, 02/15/2006,HARMONY ESTATES RESIDENTIAL CARE CENTER, 12/08/2005
NB148112,BANDON,RCF, 11/29/2004,HARMONY ESTATES RESIDENTIAL CARE CENTER, 09/28/2004
NB148061,BANDON,RCF, 05/26/2004,HARMONY ESTATES RESIDENTIAL CARE CENTER, 05/05/2004
MV152558,SALEM,RCF, 10/28/2015,HARMONY HOUSE OF SALEM, 08/21/2015
MM104560,MCMINNVILLE,RCF, 08/13/2010,HARMONY LIVING, 06/13/2010
MC061698,MCMINNVILLE,RCF, 06/05/2006,HARMONY LIVING, 04/15/2006
BC168109,PORTLAND,RCF, 12/13/2016,HARVEST HOMES RCF, 10/08/2016
BC086980,PORTLAND,RCF, 03/03/2008,HARVEST HOMES RCF, 02/15/2008
CO13002,FOSSIL,RCF, 12/12/2012,HAVEN HOUSE RETIREMENT CENTER, 12/03/2012
DL088650,FOSSIL,RCF, 10/28/2008,HAVEN HOUSE RETIREMENT CENTER, 08/25/2008
DL073963,FOSSIL,RCF, 06/20/2007,HAVEN HOUSE RETIREMENT CENTER, 03/06/2007
DL073967,FOSSIL,RCF, 06/20/2007,HAVEN HOUSE RETIREMENT CENTER, 08/21/2006
TD62491,FOSSIL,RCF, 04/18/2006,HAVEN HOUSE RETIREMENT CENTER, 07/26/2005
BC103106,PORTLAND,RCF, 01/29/2010,HAWTHORNE GARDENS MEMORY CARE COMMUNITY, 01/07/2010
BC086762B,PORTLAND,RCF, 02/19/2008,HEALTHCARE AT FOSTER CREEK, 01/30/2008
WB062029,WOODBURN,RCF, 08/01/2006,HERITAGE HOUSE OF WOODBURN, 06/19/2006
NB088931,BANDON,RCF, 12/05/2008,HERITAGE PLACE WELLNESS CENTER, 09/13/2008
NB148059,BANDON,RCF, 06/01/2004,HERITAGE PLACE WELLNESS CENTER, 03/27/2004
HM147977,HERMISTON,RCF, 09/09/2014,HERMISTON'S COUNTRY LIVING, 07/15/2014
CO14005,HERMISTON,RCF, 11/29/2013,HERMISTON'S COUNTRY LIVING, 11/15/2013
ES152039,EUGENE,RCF, 09/04/2015,HOLLY RESIDENTIAL CARE CENTER, 07/12/2015
ES152039,EUGENE,RCF, 09/04/2015,HOLLY RESIDENTIAL CARE CENTER, 07/12/2015
ES090014,EUGENE,RCF, 03/10/2009,HOLLY RESIDENTIAL CARE CENTER, 01/22/2009
ES089730,EUGENE,RCF, 02/12/2009,HOLLY RESIDENTIAL CARE CENTER, 12/21/2008
ES087758A,EUGENE,RCF, 07/11/2008,HOLLY RESIDENTIAL CARE CENTER, 05/21/2008
CO07086,EUGENE,RCF, 08/20/2007,HOLLY RESIDENTIAL CARE CENTER, 07/25/2007
ES101152,EUGENE,RCF, 08/08/2006,HOLLY RESIDENTIAL CARE CENTER, 07/27/2006
EG98931,EUGENE,RCF, 03/15/2004,HOLLY RESIDENTIAL CARE CENTER, 01/28/2004
CO10003,PORTLAND,RCF, 02/02/2010,HOPE N CARE, 09/21/2009
BH129375C,MILWAUKIE,RCF, 08/24/2012,IVY COURT SENIOR LIVING, 12/04/2011
BH129375D,MILWAUKIE,RCF, 08/24/2012,IVY COURT SENIOR LIVING, 12/04/2011
CO09017,MILWAUKIE,RCF, 11/08/2008,IVY COURT SENIOR LIVING, 09/12/2008
CO07145,MILWAUKIE,RCF, 12/03/2007,IVY COURT SENIOR LIVING, 11/16/2007
CO07109,MILWAUKIE,RCF, 10/02/2007,IVY COURT SENIOR LIVING, 09/12/2007
CO09117,LEBANON,RCF, 12/16/2009,JAMATA HAPPY HOME, 12/16/2009
AL091948,LEBANON,RCF, 10/22/2009,JAMATA HAPPY HOME, 04/27/2009
CO07080,LEBANON,RCF, 08/02/2007,JAMATA HAPPY HOME, 06/20/2007
CO04056,LEBANON,RCF, 06/14/2004,JAMATA HAPPY HOME, 05/27/2004
AL326,LEBANON,RCF, 11/20/2003,JAMATA HAPPY HOME, 06/09/2003
DA167971,DALLAS,RCF, 12/29/2016,JEFFERSON LODGE MEMORY CARE COMMUNITY, 10/16/2016
DA168057,DALLAS,RCF, 01/16/2017,JEFFERSON LODGE MEMORY CARE COMMUNITY, 10/16/2016
DA167893,DALLAS,RCF, 12/29/2016,JEFFERSON LODGE MEMORY CARE COMMUNITY, 10/02/2016
DA167692,DALLAS,RCF, 11/30/2016,JEFFERSON LODGE MEMORY CARE COMMUNITY, 09/25/2016
DA167300,DALLAS,RCF, 10/31/2016,JEFFERSON LODGE MEMORY CARE COMMUNITY, 08/27/2016
DA154019,DALLAS,RCF, 03/09/2016,JEFFERSON LODGE MEMORY CARE COMMUNITY, 12/16/2015
DA152700,DALLAS,RCF, 10/28/2015,JEFFERSON LODGE MEMORY CARE COMMUNITY, 08/31/2015
DA152440,DALLAS,RCF, 04/04/2016,JEFFERSON LODGE MEMORY CARE COMMUNITY, 08/09/2015
SL047001,DALLAS,RCF, 08/16/2004,JEFFERSON MANOR, 06/23/2004
CO03050,DALLAS,RCF, 09/12/2003,JEFFERSON MANOR, 09/12/2003
DA148632,DALLAS,RCF, 03/30/2016,JEFFERSON MANOR RESIDENTIAL CARE, 08/27/2014
DA134752,DALLAS,RCF, 12/03/2013,JEFFERSON MANOR RESIDENTIAL CARE, 09/20/2013
DA129661,DALLAS,RCF, 06/18/2012,JEFFERSON MANOR RESIDENTIAL CARE, 03/22/2012
DA117141,DALLAS,RCF, 08/30/2011,JEFFERSON MANOR RESIDENTIAL CARE, 05/16/2011
DA090198A,DALLAS,RCF, 04/13/2009,JEFFERSON MANOR RESIDENTIAL CARE, 02/08/2009
DA099978,DALLAS,RCF, 03/20/2009,JEFFERSON MANOR RESIDENTIAL CARE, 01/17/2009
DA089372,DALLAS,RCF, 02/23/2009,JEFFERSON MANOR RESIDENTIAL CARE, 11/07/2008
DA088687,DALLAS,RCF, 11/17/2008,JEFFERSON MANOR RESIDENTIAL CARE, 08/31/2008
CO08080,DALLAS,RCF, 07/24/2008,JEFFERSON MANOR RESIDENTIAL CARE, 06/25/2008
DA087180,DALLAS,RCF, 06/12/2008,JEFFERSON MANOR RESIDENTIAL CARE, 02/23/2008
DA075657,DALLAS,RCF, 11/21/2007,JEFFERSON MANOR RESIDENTIAL CARE, 09/16/2007
DA062563,DALLAS,RCF, 10/25/2006,JEFFERSON MANOR RESIDENTIAL CARE, 07/12/2006
SL057303,DALLAS,RCF, 06/10/2005,JEFFERSON MANOR RESIDENTIAL CARE, 04/08/2005
SL047205,DALLAS,RCF, 03/10/2005,JEFFERSON MANOR RESIDENTIAL CARE, 12/03/2004
SL047190,DALLAS,RCF, 02/10/2005,JEFFERSON MANOR RESIDENTIAL CARE, 11/09/2004
CO04095,SALEM,RCF, 10/08/2004,JEPSON'S CARE HOME, 10/04/2004
CO04075,SALEM,RCF, 09/24/2004,JEPSON'S CARE HOME, 09/15/2004
SL047078,SALEM,RCF, 09/22/2004,JEPSON'S CARE HOME, 08/20/2004
GP151402,GRANTS PASS,RCF, 08/25/2015,KINSINGTON PLACE, 05/28/2015
GP151402,GRANTS PASS,RCF, 08/25/2015,KINSINGTON PLACE, 05/28/2015
BC075268,PORTLAND,RCF, 08/10/2007,KNIGHT ADULT CARE HOMES, 08/03/2007
BC062888A,PORTLAND,RCF, 10/26/2006,KNIGHT ADULT CARE HOMES, 09/25/2006
MR449A,PORTLAND,RCF, 05/11/2004,KNIGHT ADULT CARE HOMES, 03/29/2004
CO03007,PORTLAND,RCF, 02/05/2003,KNIGHT ADULT CARE HOMES, 02/04/2003
MR322,PORTLAND,RCF, 02/10/2003,KNIGHT ADULT CARE HOMES, 01/17/2003
MF167071,WHITE CITY,RCF, 09/20/2016,LAUREL PINES RETIREMENT LODGE, 08/12/2016
MS166656,WHITE CITY,RCF, 08/19/2016,LAUREL PINES RETIREMENT LODGE, 09/03/2015
MF151612,WHITE CITY,RCF, 09/14/2015,LAUREL PINES RETIREMENT LODGE, 06/13/2015
MS150959,WHITE CITY,RCF, 06/10/2015,LAUREL PINES RETIREMENT LODGE, 04/14/2015
MS150352,WHITE CITY,RCF, 04/23/2015,LAUREL PINES RETIREMENT LODGE, 02/21/2015
MS159788A,WHITE CITY,RCF, 02/16/2015,LAUREL PINES RETIREMENT LODGE, 01/05/2015
MS149469,WHITE CITY,RCF, 01/30/2015,LAUREL PINES RETIREMENT LODGE, 11/28/2014
MS074987,WHITE CITY,RCF, 08/31/2007,LAUREL PINES RETIREMENT LODGE, 07/09/2007
CO05072,WHITE CITY,RCF, 11/16/2005,LAUREL PINES RETIREMENT LODGE, 11/16/2005
CK040082A,TUALATIN,RCF, 08/03/2004,"LEGACY GARDENS OF TUALATIN, THE", 03/02/2004
CK040082B,TUALATIN,RCF, 08/03/2004,"LEGACY GARDENS OF TUALATIN, THE", 03/02/2004
CK040025,TUALATIN,RCF, 03/15/2004,"LEGACY GARDENS OF TUALATIN, THE", 01/19/2004
CO07155,LINCOLN CITY,RCF, 12/12/2007,LINCOLNSHIRE MEMORY CARE COMMUNITY, 11/15/2007
CO07094,LINCOLN CITY,RCF, 09/13/2007,LINCOLNSHIRE MEMORY CARE COMMUNITY, 08/16/2007
NW062222,LINCOLN CITY,RCF, 08/10/2006,LINCOLNSHIRE MEMORY CARE COMMUNITY, 05/11/2006
NW169414,LINCOLN CITY,RCF, 03/24/2006,LINCOLNSHIRE MEMORY CARE COMMUNITY, 01/12/2006
CO03041,LINCOLN CITY,RCF, 07/03/2003,LINCOLNSHIRE RETIREMENT & ASSISTED LIVING, 06/19/2003
NW139166,LINCOLN CITY,RCF, 12/08/2003,LINCOLNSHIRE RETIREMENT & ASSISTED LIVING, 05/06/2003
BC121698,GRESHAM,RCF, 12/18/2012,LINDEN CARE MANOR, 11/20/2012
BC121661,GRESHAM,RCF, 01/15/2013,LINDEN CARE MANOR, 10/31/2012
CO12104,GRESHAM,RCF, 09/12/2012,LINDEN CARE MANOR, 09/07/2012
BC121080,GRESHAM,RCF, 11/02/2012,LINDEN CARE MANOR, 08/30/2012
BC120952,GRESHAM,RCF, 11/02/2012,LINDEN CARE MANOR, 07/16/2012
BC120479,GRESHAM,RCF, 08/29/2012,LINDEN CARE MANOR, 07/08/2012
BC129636B,GRESHAM,RCF, 08/07/2012,LINDEN CARE MANOR, 03/20/2012
CO14203,GRESHAM,RCF, 10/03/2014,LINDEN MANOR, 09/26/2014
MV164223A,ALBANY,RCF, 03/17/2016,LYDIA'S HOUSE, 01/07/2016
AL151939,ALBANY,RCF, 02/09/2016,LYDIA'S HOUSE, 01/01/2015
AL148956,ALBANY,RCF, 12/16/2014,LYDIA'S HOUSE, 03/10/2014
AL146353,ALBANY,RCF, 04/09/2014,LYDIA'S HOUSE, 09/30/2013
AL091961,ALBANY,RCF, 09/25/2009,LYDIA'S HOUSE, 08/18/2009
AL091422,ALBANY,RCF, 07/29/2009,LYDIA'S HOUSE, 06/13/2009
CO09045,ALBANY,RCF, 02/26/2009,LYDIA'S HOUSE, 01/15/2009
AL074862,ALBANY,RCF, 08/03/2007,LYDIA'S HOUSE, 06/15/2007
ES117169,COTTAGE GROVE,RCF, 08/10/2011,MAGNOLIA VILLAGE MEMORY CARE COMMUNITY, 06/04/2011
ES117169,COTTAGE GROVE,RCF, 08/10/2011,MAGNOLIA VILLAGE MEMORY CARE COMMUNITY, 06/04/2011
RB129940,ROSEBURG,RCF, 06/27/2012,MANOR HOUSE MEMORY CARE, 04/24/2012
RB129562,ROSEBURG,RCF, 04/13/2012,MANOR HOUSE MEMORY CARE, 03/17/2012
RB116429,ROSEBURG,RCF, 04/26/2011,MANOR HOUSE MEMORY CARE, 02/07/2011
RB092981,ROSEBURG,RCF, 02/11/2010,MANOR HOUSE MEMORY CARE, 12/17/2009
RB088579,ROSEBURG,RCF, 10/02/2008,MANOR HOUSE MEMORY CARE, 08/26/2008
RB087443,ROSEBURG,RCF, 06/16/2008,MANOR HOUSE MEMORY CARE, 04/20/2008
RB076101,ROSEBURG,RCF, 01/03/2008,MANOR HOUSE MEMORY CARE, 11/15/2007
RB075707,ROSEBURG,RCF, 11/08/2007,MANOR HOUSE MEMORY CARE, 10/02/2007
RB075101,ROSEBURG,RCF, 09/13/2007,MANOR HOUSE MEMORY CARE, 07/18/2007
RB073979,ROSEBURG,RCF, 05/07/2007,MANOR HOUSE MEMORY CARE, 03/07/2007
RB062825,ROSEBURG,RCF, 07/31/2007,MANOR HOUSE MEMORY CARE, 10/10/2006
RB062826A,ROSEBURG,RCF, 06/15/2007,MANOR HOUSE MEMORY CARE, 10/08/2006
RB062826B,ROSEBURG,RCF, 06/15/2007,MANOR HOUSE MEMORY CARE, 10/08/2006
RB062593,ROSEBURG,RCF, 11/09/2006,MANOR HOUSE MEMORY CARE, 09/06/2006
RS152171B,ROSEBURG,RCF, 11/02/2005,MANOR HOUSE MEMORY CARE, 07/05/2005
RS152166,ROSEBURG,RCF, 04/11/2006,MANOR HOUSE MEMORY CARE, 06/22/2005
RS152156A,ROSEBURG,RCF, 11/02/2005,MANOR HOUSE MEMORY CARE, 05/25/2005
RS152151,ROSEBURG,RCF, 10/11/2005,MANOR HOUSE MEMORY CARE, 05/13/2005
RS152125,ROSEBURG,RCF, 06/01/2005,MANOR HOUSE MEMORY CARE, 03/06/2005
RS152118,ROSEBURG,RCF, 06/28/2005,MANOR HOUSE MEMORY CARE, 03/04/2005
RS152114,ROSEBURG,RCF, 05/03/2005,MANOR HOUSE MEMORY CARE, 02/25/2005
RS152113A,ROSEBURG,RCF, 04/19/2005,MANOR HOUSE MEMORY CARE, 02/18/2005
RS142085,ROSEBURG,RCF, 02/16/2005,MANOR HOUSE MEMORY CARE, 12/18/2004
RS142079,ROSEBURG,RCF, 01/10/2005,MANOR HOUSE MEMORY CARE, 11/14/2004
MS150461,MEDFORD,RCF, 04/27/2015,MANOR SPECIAL CARE CENTER, 03/03/2015
MS146990,MEDFORD,RCF, 06/13/2014,MANOR SPECIAL CARE CENTER, 05/05/2014
MS146098,MEDFORD,RCF, 05/22/2014,MANOR SPECIAL CARE CENTER, 02/18/2014
MS146915,MEDFORD,RCF, 05/23/2014,MANOR SPECIAL CARE CENTER, 02/06/2014
MS146953,MEDFORD,RCF, 06/04/2014,MANOR SPECIAL CARE CENTER, 09/16/2013
MS166842,MEDFORD,RCF, 08/29/2016,MANOR TERRACE CARE SUITES, 07/28/2016
MS146798,MEDFORD,RCF, 10/23/2014,MANOR TERRACE CARE SUITES, 04/15/2014
HB148595,PORTLAND,RCF, 12/02/2014,MARQUIS AUTUMN HILLS RESIDENTIAL MEMORY CARE, 09/17/2014
HB129564,PORTLAND,RCF, 05/30/2012,MARQUIS CARE AT AUTUMN HILLS, 03/18/2012
HB086615,PORTLAND,RCF, 02/01/2008,MARQUIS CARE AT AUTUMN HILLS, 01/18/2008
HB153710,PORTLAND,RCF, 08/09/2006,MARQUIS CARE AT AUTUMN HILLS, 08/20/2005
HB132001X,BEAVERTON,RCF, 05/14/2013,MARYVILLE MEMORY CARE, 12/26/2012
HB121280,BEAVERTON,RCF, 12/11/2012,MARYVILLE MEMORY CARE, 10/02/2012
BH166156,OREGON CITY,RCF, 07/04/2016,MCLOUGHLIN MEMORY CARE, 06/06/2016
BH165619,OREGON CITY,RCF, 06/10/2016,MCLOUGHLIN MEMORY CARE, 04/17/2016
BH150529,OREGON CITY,RCF, 03/16/2015,MCLOUGHLIN MEMORY CARE, 12/01/2014
BH146846,OREGON CITY,RCF, 05/22/2014,MCLOUGHLIN MEMORY CARE, 04/15/2014
BH135148,OREGON CITY,RCF, 03/19/2014,MCLOUGHLIN MEMORY CARE, 11/20/2013
BH135050,OREGON CITY,RCF, 12/18/2013,MCLOUGHLIN MEMORY CARE, 11/09/2013
BF103202A,OREGON CITY,RCF, 05/21/2010,MCLOUGHLIN MEMORY CARE, 01/10/2010
BF092270,OREGON CITY,RCF, 10/21/2009,MCLOUGHLIN MEMORY CARE, 07/03/2009
OT090150,ONTARIO,RCF, 02/25/2009,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE, 12/15/2008
OT099973,ONTARIO,RCF, 02/17/2009,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE, 12/12/2008
OT086491,ONTARIO,RCF, 05/16/2008,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE, 12/27/2007
OT075790A,ONTARIO,RCF, 12/06/2007,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE, 10/08/2007
OT075791,ONTARIO,RCF, 11/19/2007,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE, 10/08/2007
OT41770C,ONTARIO,RCF, 04/28/2005,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE, 07/08/2004
CO03010,ONTARIO,RCF, 01/31/2003,MEADOWBROOK RETIREMENT & RESIDENTIAL CARE, 01/14/2003
BH121843C,OREGON CITY,RCF, 04/16/2013,MEADOWS COURTYARD, 11/27/2012
RS131860,ROSEBURG,RCF, 12/08/2003,MERCY MANOR, 08/27/2003
ES164449,COTTAGE GROVE,RCF, 06/15/2016,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 01/28/2016
ES153562,COTTAGE GROVE,RCF, 12/09/2015,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 11/13/2015
ES152337,COTTAGE GROVE,RCF, 08/25/2015,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 07/31/2015
ES152019,COTTAGE GROVE,RCF, 08/28/2015,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 07/09/2015
ES151786,COTTAGE GROVE,RCF, 07/24/2015,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 06/29/2015
ES150584,COTTAGE GROVE,RCF, 04/10/2015,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 03/15/2015
ES150183,COTTAGE GROVE,RCF, 03/19/2015,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 02/07/2015
ES148760,COTTAGE GROVE,RCF, 12/17/2014,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 09/30/2014
ES148106,COTTAGE GROVE,RCF, 09/17/2014,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 08/11/2014
ES145863,COTTAGE GROVE,RCF, 03/17/2015,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 12/29/2013
ES120182,COTTAGE GROVE,RCF, 09/12/2012,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 05/31/2012
ES129976,COTTAGE GROVE,RCF, 07/10/2012,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 05/03/2012
ES118788B,COTTAGE GROVE,RCF, 03/13/2012,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 12/26/2011
ES118465,COTTAGE GROVE,RCF, 01/13/2012,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 11/05/2011
ES118325,COTTAGE GROVE,RCF, 01/11/2012,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 10/28/2011
ES118223,COTTAGE GROVE,RCF, 01/10/2012,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 10/11/2011
ES117855,COTTAGE GROVE,RCF, 11/14/2011,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 08/26/2011
ES117688,COTTAGE GROVE,RCF, 01/09/2012,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 08/04/2011
ES117391,COTTAGE GROVE,RCF, 11/22/2011,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 07/03/2011
ES116427,COTTAGE GROVE,RCF, 03/23/2011,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 02/23/2011
ES103741A,COTTAGE GROVE,RCF, 04/29/2010,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 03/10/2010
ES103628,COTTAGE GROVE,RCF, 05/03/2010,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 02/24/2010
ES103515A,COTTAGE GROVE,RCF, 03/23/2010,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 02/09/2010
ES103515B,COTTAGE GROVE,RCF, 03/23/2010,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 02/09/2010
ES103468,COTTAGE GROVE,RCF, 03/04/2010,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 02/07/2010
ES092858,COTTAGE GROVE,RCF, 03/12/2010,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 12/04/2009
ES092537,COTTAGE GROVE,RCF, 11/04/2009,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 09/20/2009
ES103062,COTTAGE GROVE,RCF, 11/15/2010,MIDDLEFIELD OAKS MEMORY CARE COMMUNITY, 01/05/2009
BH133055,MILWAUKIE,RCF, 06/07/2013,MILWAUKIE CARE CENTER, 04/24/2013
BH118702,MILWAUKIE,RCF, 01/21/2012,MILWAUKIE CARE CENTER, 09/23/2011
BH166087,CLACKAMAS,RCF, 07/28/2016,MIRAMONT POINTE, 05/18/2016
BH166034,CLACKAMAS,RCF, 08/04/2016,MIRAMONT POINTE, 05/06/2016
BH153545,CLACKAMAS,RCF, 12/09/2015,MIRAMONT POINTE, 10/06/2015
CO13029,CLACKAMAS,RCF, 03/20/2013,MIRAMONT POINTE, 03/13/2013
CO12131,CLACKAMAS,RCF, 11/21/2012,MIRAMONT POINTE, 11/08/2012
BH120752,CLACKAMAS,RCF, 10/10/2012,MIRAMONT POINTE, 07/23/2012
BH116074B,CLACKAMAS,RCF, 02/25/2011,MIRAMONT POINTE, 12/29/2010
CO14243,HAPPY VALLEY,RCF, 11/12/2014,MONTEREY COURT ALZHEIMER'S CARE, 11/05/2014
BH159848,HAPPY VALLEY,RCF, 01/30/2015,MONTEREY COURT ALZHEIMER'S CARE, 08/23/2014
BH146625,HAPPY VALLEY,RCF, 05/22/2014,MONTEREY COURT ALZHEIMER'S CARE, 04/03/2014
BH153592,HAPPY VALLEY,RCF, 12/22/2015,MONTEREY COURT ALZHEIMER'S CARE, 03/19/2014
BH120476A,HAPPY VALLEY,RCF, 03/12/2013,MONTEREY COURT ALZHEIMER'S CARE, 07/06/2012
BH120476B,HAPPY VALLEY,RCF, 03/12/2013,MONTEREY COURT ALZHEIMER'S CARE, 07/06/2012
BH118278,HAPPY VALLEY,RCF, 11/18/2011,MONTEREY COURT ALZHEIMER'S CARE, 07/01/2011
CK086711,HAPPY VALLEY,RCF, 02/22/2008,MONTEREY COURT ALZHEIMER'S CARE, 01/28/2008
CK075284,HAPPY VALLEY,RCF, 08/14/2007,MONTEREY COURT ALZHEIMER'S CARE, 06/25/2007
BH164968,HAPPY VALLEY,RCF, 04/27/2016,MONTEREY COURT MEMORY CARE, 11/05/2015
CO10006,GRESHAM,RCF, 02/12/2010,MOUNTAIN VIEW RESIDENTIAL CARE FACILITY, 01/14/2010
MR429,GRESHAM,RCF, 06/02/2004,MOUNTAIN VIEW RESIDENTIAL CARE FACILITY, 02/20/2004
WB147392,MT. ANGEL,RCF, 09/09/2014,MT. ANGEL TOWERS, 06/01/2014
CO13112,MT. ANGEL,RCF, 08/13/2013,MT. ANGEL TOWERS, 08/13/2013
CO11111,MT. ANGEL,RCF, 09/13/2011,MT. ANGEL TOWERS, 09/13/2011
MV118031,MT. ANGEL,RCF, 05/07/2012,MT. ANGEL TOWERS, 08/20/2011
BC153571,PORTLAND,RCF, 01/18/2016,MT. SCOTT RESIDENTIAL CARE HOME, 10/15/2015
BC152746,PORTLAND,RCF, 10/13/2015,MT. SCOTT RESIDENTIAL CARE HOME, 09/06/2015
BC133490,PORTLAND,RCF, 08/07/2013,MT. SCOTT RESIDENTIAL CARE HOME, 04/20/2013
BC118481,PORTLAND,RCF, 07/12/2012,MT. SCOTT RESIDENTIAL CARE HOME, 10/20/2011
